pays,nombre de cas,nombre de décés,Region,population,latitude,longitude
Rwanda,99765,1332,Africa,12952218,-1.9536,30.0606
Gambia,9973,341,Africa,2416668,13.4531,-16.5775
Yemen,9806,1894,Asia,29825964,15.3500,44.2000
China,97314,4636,Asia,1439323776,39.9050,116.3914
Cuba,953183,8246,North America,11326616,23.1367,-82.3589
Morocco,946543,14683,Africa,36910560,34.0253,-6.8361
Kazakhstan,941793,12133,Asia,18776707,51.1333,71.4333
Vietnam,932357,22205,Asia,97338579,21.0245,105.8412
United Kingdom,9130857,140964,Europe,67886011,51.5072,-0.1275
Jamaica,89170,2246,North America,2961167,17.9714,-76.7931
Maldives,88058,243,Asia,540544,4.1750,73.5083
Switzerland,879049,11275,Europe,8654622,46.9480,7.4474
Hungary,876497,30920,Europe,9660351,47.4983,19.0408
Jordan,866451,11062,Asia,10203134,31.9500,35.9333
Russia,8593200,240871,Europe,145934462,55.7558,37.6178
Austria,840902,11380,Europe,9006398,48.2083,16.3731
Luxembourg,82082,848,Europe,625978,49.6106,6.1328
Nepal,813433,11427,Asia,29136808,27.7167,85.3667
Turkey,8091462,71052,Asia,84339067,39.9300,32.8500
Palau,8,0,Australia/Oceania,18094,7.5006,134.6242
Greece,754451,16050,Europe,10423054,37.9794,23.7161
United Arab Emirates,740057,2137,Asia,9890402,24.4781,54.3686
Senegal,73922,1878,Africa,16743927,14.7319,-17.4572
Georgia,726941,10136,Asia,3989167,41.7225,44.7925
France,7170782,117763,Europe,65273511,48.8566,2.3522
Tunisia,712776,25244,Africa,11818619,36.8008,10.1800
Eritrea,6860,45,Africa,3546421,15.3333,38.9167
New Zealand,6723,28,Australia/Oceania,4822233,-41.2889,174.7772
Angola,64458,1713,Africa,32866272,-8.8383,13.2344
Lebanon,642225,8509,Asia,6825445,33.8869,35.5131
Niger,6399,216,Africa,24206644,13.5086,2.1111
Sierra Leone,6396,121,Africa,7976983,8.4833,-13.2331
Malawi,61802,2302,Africa,19129952,-13.9833,33.7833
Guinea-Bissau,6134,141,Africa,1968001,11.8592,-15.5956
Bulgaria,608499,24309,Europe,6948445,42.6975,23.3241
Belarus,604037,4662,Europe,9449323,53.9022,27.5618
Guatemala,601657,15137,North America,17915568,14.6099,-90.5252
Vanuatu,6,1,Australia/Oceania,307145,-17.7500,168.3000
Iran,5944599,126616,Asia,83992949,35.7000,51.4167
Grenada,5850,198,North America,112523,12.0444,-61.7417
Liberia,5815,287,Africa,5057681,6.3106,-10.8047
Costa Rica,560563,7078,North America,5094118,9.9333,-84.0833
San Marino,5509,92,Europe,33931,43.9320,12.4484
Saudi Arabia,548666,8796,Asia,34813871,24.6500,46.7100
Sri Lanka,542212,13770,Asia,21413249,6.9167,79.8333
Azerbaijan,534748,7132,Asia,10139177,40.3667,49.8352
Argentina,5289945,115989,South America,45195774,-34.5997,-58.3819
Fiji,52180,674,Australia/Oceania,896445,-18.1333,178.4333
Ecuador,515859,32958,South America,17643054,-0.2186,-78.5097
Bolivia,513810,18928,South America,11673021,-16.4942,-68.1475
Chad,5105,175,Africa,16425864,12.1100,15.0500
Spain,5016968,87423,Europe,46754778,40.4189,-3.6919
Colombia,5003977,127311,South America,50882891,4.6126,-74.0705
Suriname,49119,1094,South America,586632,5.8667,-55.1667
Slovakia,487916,13076,Europe,5459642,48.1447,17.1128
Dominica,4823,32,North America,71986,15.3000,-61.3833
Italy,4777614,132161,Europe,60461826,41.8931,12.4828
Panama,472736,7315,North America,4314767,9.0000,-79.5000
Croatia,472259,9291,Europe,4105267,45.8000,15.9500
United States,46967805,768408,North America,331002651,38.9047,-77.0163
Germany,4635558,96439,Europe,83783942,52.5167,13.3833
Paraguay,461086,16249,South America,7132538,-25.3000,-57.6333
Ireland,452172,5436,Europe,4937786,53.3425,-6.2658
Syria,43666,2574,Asia,17500658,33.5131,36.2919
Madagascar,42898,958,Africa,27691018,-18.9386,47.5214
Comoros,4272,147,Africa,869601,-11.7036,43.2536
Indonesia,4245373,143457,Asia,273523615,-6.2146,106.8451
Laos,41829,70,Asia,7275560,17.9667,102.6000
Lithuania,412769,5936,Europe,2722289,54.6833,25.2833
Kuwait,412731,2462,Asia,4270571,29.3750,47.9800
Venezuela,407866,4902,South America,28435940,10.5000,-66.9333
Sudan,40238,3099,Africa,43849260,15.6031,32.5265
Marshall Islands,4,0,Australia/Oceania,59190,7.1167,171.3667
Uruguay,394053,6080,South America,3473730,-34.8667,-56.1667
Denmark,391221,2716,Europe,5792202,55.6786,12.5635
Dominican Republic,383317,4138,North America,10847910,18.4764,-69.8933
Cabo Verde,38218,349,Africa,555987,14.9177,-23.5092
Mexico,3808205,288464,North America,128932753,19.4333,-99.1333
Malta,37702,462,Europe,441543,35.8978,14.5125
Honduras,375778,10256,North America,9904607,14.0942,-87.2067
Mauritania,37368,797,Africa,4649658,18.0783,-15.9744
South Korea,367974,2874,Asia,51269185,37.5833,127.0000
Ethiopia,365776,6486,Africa,114963588,9.0272,38.7369
